First Name,Gender,Start Date,Last Login Time,Salary,Bonus %,Senior Management,Team
Irene,Female,1/29/1992,11:36 AM,133772,19.02,TRUE,Sales
Patrick,Male,8/17/2007,3:16 AM,143499,17.495,TRUE,Engineering
Sara,Female,9/23/1991,6:17 PM,97058,9.402,FALSE,Finance
Lillian,Female,12/21/2008,6:51 PM,85446,3.959,TRUE,Engineering
Willie,Male,2/17/1998,8:20 PM,146651,1.451,TRUE,Engineering
Victor,Male,01/08/2003,1:02 PM,124486,10.166,FALSE,Product
Wayne,Male,04/07/2012,8:00 AM,102652,14.085,TRUE,Distribution
Jane,Female,09/03/1997,2:01 AM,144474,17.648,FALSE,Product
Jessica,Female,10/23/1995,5:53 AM,68759,19.343,TRUE,Finance
Mark,Male,04/12/2008,5:40 PM,57286,5.025,TRUE,Business Development
Randy,Male,11/14/1999,12:12 PM,58129,1.952,TRUE,Distribution
Lillian,Female,6/19/1999,4:44 PM,123940,12.184,TRUE,Business Development
Jerry,Male,12/18/2003,6:46 AM,140810,9.177,TRUE,Client Services
Sandra,Female,1/19/1983,7:25 AM,42090,8.842,TRUE,Legal
Roger,Male,11/19/2004,3:55 PM,51430,6.46,FALSE,Marketing
Charles,Male,10/14/2000,9:40 PM,71749,15.931,FALSE,Legal
Clarence,Male,05/02/1998,3:16 AM,85700,1.215,FALSE,Sales
Carol,Female,3/19/1996,3:39 AM,57783,9.129,FALSE,Finance
Lois,Female,10/18/2013,4:51 PM,36946,6.652,FALSE,Engineering
Rebecca,Female,2/18/1995,6:50 AM,109259,4.443,TRUE,Legal
Irene,Female,1/30/2004,8:25 PM,131038,8.996,FALSE,Distribution
Ronald,Male,4/30/2014,2:19 PM,121068,12.757,TRUE,Product
Steven,Male,11/10/1985,10:53 AM,62719,19.127,FALSE,Client Services
Carolyn,Female,11/06/2012,3:51 AM,69268,3.031,FALSE,Client Services
Maria,Female,12/27/1990,9:57 PM,36067,9.64,TRUE,Product
Gary,Male,08/12/1987,12:04 AM,89661,8.525,FALSE,Finance
Kimberly,Female,7/15/1997,5:57 AM,36643,7.953,FALSE,Marketing
Roger,Male,11/08/1982,2:32 AM,140558,5.084,TRUE,Sales
Diana,Female,01/04/2013,7:53 AM,103521,2.784,TRUE,Business Development
Willie,Male,06/06/2006,9:45 AM,55281,4.935,TRUE,Marketing
Brandon,Male,3/27/2006,5:54 PM,115711,8.012,TRUE,Finance
Patricia,Female,12/06/2012,4:01 AM,114079,8.399,TRUE,Client Services
Katherine,Female,11/14/1999,8:15 AM,57531,1.767,FALSE,Client Services
Jonathan,Male,10/12/1987,2:59 AM,141069,4.903,FALSE,Human Resources
Emily,Female,9/20/2007,11:25 AM,89434,11.295,FALSE,Engineering
Ruth,Female,08/12/1986,7:29 PM,44639,9.148,TRUE,Legal
Linda,Female,6/24/2006,12:04 PM,110967,19.612,TRUE,Human Resources
Lisa,Female,11/02/2009,9:42 AM,115387,1.821,FALSE,Client Services
Evelyn,Female,5/24/1980,11:10 PM,81673,15.364,TRUE,Engineering
Julie,Female,7/23/1989,1:52 PM,109588,3.55,FALSE,Engineering
Mary,Female,5/30/2009,11:41 PM,92544,3.8,FALSE,Client Services
Matthew,Male,7/31/2013,8:04 AM,142373,2.462,FALSE,Marketing
Douglas,Male,09/03/1999,4:00 PM,83341,1.015,TRUE,Client Services
Billy,Male,3/13/1995,12:05 PM,120444,7.768,TRUE,Finance
Gregory,Male,1/29/2000,6:01 AM,109564,3.845,FALSE,Legal
Jason,Male,10/17/1999,10:09 PM,78417,3.067,FALSE,Finance
Daniel,Male,4/30/2010,3:48 AM,106947,15.866,TRUE,Legal
Sarah,Female,9/14/1995,7:50 AM,87298,2.311,FALSE,Distribution
Harry,Male,10/01/2015,7:47 PM,64579,15.266,TRUE,Sales
Kathy,Female,4/19/1995,12:46 AM,50905,9.404,TRUE,Finance
Todd,Male,4/13/1999,10:31 AM,59728,11.226,TRUE,Client Services
Bobby,Male,9/23/1994,1:29 AM,51685,17.445,TRUE,Engineering
Jeremy,Male,06/08/2000,12:15 AM,49542,1.679,TRUE,Distribution
Diane,Female,4/18/1993,3:22 AM,64084,17.018,FALSE,Product
Marilyn,Female,04/04/1997,9:28 PM,147663,10.263,FALSE,Human Resources
Kathryn,Female,02/04/2004,1:47 PM,73935,14.752,FALSE,Sales
Irene,Female,02/04/1982,5:26 PM,40837,12.182,TRUE,Client Services
Norma,Female,02/11/2015,11:44 PM,94393,3.643,TRUE,Engineering
Laura,Female,04/02/2006,1:57 PM,42087,2.624,FALSE,Product
Cheryl,Female,9/23/2008,2:57 AM,52080,9.375,FALSE,Legal
Kevin,Male,3/25/1982,7:31 AM,35061,5.128,FALSE,Legal
Walter,Male,07/06/1983,11:54 PM,127813,5.961,FALSE,Finance
Robert,Male,10/27/1990,7:15 PM,38041,18.428,TRUE,Engineering
Jimmy,Male,10/07/1986,5:53 PM,126310,5.413,TRUE,Product
Clarence,Male,10/08/1996,12:53 PM,142561,8.866,FALSE,Client Services
Victor,Male,04/11/1991,7:44 AM,70817,17.138,FALSE,Engineering
Justin,Male,12/06/1992,5:58 PM,82782,4.366,TRUE,Distribution
Betty,Female,06/12/2002,3:59 AM,104896,19.55,TRUE,Business Development
Ralph,Male,11/11/2004,1:35 AM,71896,4.232,TRUE,Marketing
Edward,Male,5/27/1985,10:13 PM,110485,7.995,FALSE,Client Services
Denise,Female,3/20/2009,7:57 AM,115118,5.108,FALSE,Human Resources
Debra,Female,3/13/1998,11:16 PM,48696,4.75,FALSE,Legal
Henry,Male,02/06/1995,8:34 AM,89258,15.585,TRUE,Human Resources
Gloria,Female,3/27/2007,1:44 AM,90730,2.491,FALSE,Distribution
Marie,Female,08/06/1995,1:58 PM,100308,13.677,FALSE,Product
Anne,Female,7/16/1986,2:08 PM,69134,3.723,TRUE,Engineering
Stephanie,Female,3/24/1983,11:15 AM,50141,13.218,TRUE,Human Resources
Roy,Male,9/23/2004,1:31 PM,101941,3.45,FALSE,Client Services
Irene,Female,03/03/1982,8:26 AM,56526,5.81,TRUE,Finance
Thomas,Male,04/06/2011,1:04 PM,103235,9.554,TRUE,Human Resources
Fred,Male,2/20/1980,2:25 AM,74129,18.225,FALSE,Product
Nicholas,Male,04/12/1994,8:21 PM,74669,1.113,TRUE,Product
Howard,Male,10/05/1982,7:22 AM,97490,5.46,TRUE,Marketing
Debra,Female,2/22/1994,10:25 PM,104250,18.456,TRUE,Business Development
Christine,Female,07/03/1989,4:01 AM,94345,11.996,FALSE,Finance
Betty,Female,6/28/2005,6:03 PM,51613,12.984,FALSE,Distribution
Ruby,Female,11/08/2000,7:35 PM,105946,1.139,FALSE,Business Development
Kevin,Male,07/12/1997,2:07 AM,46080,9.635,FALSE,Business Development
Arthur,Male,01/01/2014,7:46 PM,134610,6.147,TRUE,Human Resources
Todd,Male,03/11/2009,3:43 AM,107281,1.612,TRUE,Engineering
Brenda,Female,10/06/2005,9:33 PM,141521,4.337,FALSE,Client Services
Judy,Female,9/16/1997,12:10 AM,65931,2.304,FALSE,Human Resources
Todd,Male,02/02/1984,10:13 AM,69989,10.985,TRUE,Finance
Lois,Female,11/09/2011,7:06 AM,147183,9.999,TRUE,Client Services
Jessica,Female,9/27/1985,1:35 PM,75145,6.388,TRUE,Legal
Tammy,Female,11/11/1984,10:30 AM,132839,17.463,TRUE,Client Services
Anne,Female,03/07/2000,6:45 AM,44537,18.284,TRUE,Client Services
Jesse,Male,10/25/1999,3:35 PM,118733,9.653,FALSE,Marketing
Virginia,Female,10/20/1999,6:23 AM,46905,19.154,FALSE,Distribution
Jesse,Male,03/02/1981,7:26 PM,79582,3.873,FALSE,Legal
Daniel,Male,9/15/2007,10:16 PM,123811,7.664,TRUE,Human Resources
Emily,Female,1/13/1988,6:42 AM,36711,19.028,TRUE,Human Resources
Alan,Male,6/26/1988,3:54 AM,111786,3.592,TRUE,Engineering
James,Male,07/11/2015,8:52 PM,72257,13.023,FALSE,Engineering
Adam,Male,07/05/2007,11:59 AM,71276,5.027,TRUE,Human Resources
Jeremy,Male,08/12/1981,12:05 AM,46930,18.702,TRUE,Finance
Margaret,Female,02/06/1993,1:05 PM,125220,3.733,FALSE,Marketing
Mark,Male,04/01/1984,1:21 PM,121477,17.44,TRUE,Business Development
Marilyn,Female,9/26/1981,2:23 AM,86386,2.937,FALSE,Distribution
Cheryl,Female,09/08/2009,10:16 AM,81308,2.196,TRUE,Legal
Benjamin,Male,09/11/1984,6:37 AM,84810,15.794,FALSE,Marketing
Harold,Male,2/20/1990,11:00 PM,66775,2.158,TRUE,Legal
Gerald,Male,4/16/2001,10:09 PM,121604,1.923,TRUE,Sales
Judy,Female,07/01/1991,2:33 AM,109510,13.457,TRUE,Legal
Marie,Female,10/03/2013,8:05 PM,123711,10.966,FALSE,Product
Kathy,Female,12/18/2013,3:09 PM,132381,8.34,FALSE,Business Development
Roy,Male,08/06/2006,7:52 AM,148225,1.841,FALSE,Finance
Jacqueline,Female,11/25/1981,3:01 PM,145988,18.243,FALSE,Marketing
Julie,Female,3/23/1986,9:26 AM,56926,7.507,FALSE,Sales
Douglas,Male,01/08/2002,6:42 PM,41428,14.372,FALSE,Product
Linda,Female,12/16/1990,2:20 AM,115658,3.041,TRUE,Sales
Ruby,Female,12/10/1988,8:27 PM,76707,6.031,FALSE,Business Development
Russell,Male,01/02/2005,1:48 AM,60388,17.885,FALSE,Client Services
Jeffrey,Male,6/18/1997,8:01 PM,45150,12.075,TRUE,Product
Aaron,Male,1/29/1994,6:48 PM,58755,5.097,TRUE,Marketing
Samuel,Male,12/19/1991,2:54 AM,76076,5.319,TRUE,Finance
Randy,Male,3/16/2014,6:24 PM,135119,7.887,FALSE,Client Services
Evelyn,Female,09/03/1983,1:58 PM,36759,17.269,TRUE,Marketing
Fred,Male,2/13/1987,2:15 PM,121723,18.645,TRUE,Product
Shirley,Female,06/08/1986,2:25 AM,110061,7.494,FALSE,Client Services
Todd,Male,5/23/2011,4:14 PM,85074,1.844,FALSE,Client Services
Robert,Male,11/18/2014,5:00 AM,85799,19.93,FALSE,Finance
Mark,Male,1/22/2007,2:37 PM,75150,12.182,TRUE,Legal
Earl,Male,01/05/2000,5:46 PM,91344,4.035,TRUE,Sales
Richard,Male,9/27/2005,1:41 AM,86326,10.717,FALSE,Product
Michael,Male,11/22/1991,12:57 PM,98753,16.443,TRUE,Human Resources
Steven,Male,05/12/2009,2:14 PM,113060,2.846,TRUE,Sales
Carlos,Male,9/19/2007,1:01 AM,77327,11.58,TRUE,Finance
Marie,Female,10/20/2011,10:09 PM,62666,10.247,FALSE,Product
Ronald,Male,2/24/2009,2:09 PM,96633,4.99,TRUE,Engineering
Scott,Male,05/12/2009,4:36 AM,58248,3.914,FALSE,Business Development
Steven,Male,11/21/2006,8:30 AM,83706,6.96,TRUE,Human Resources
James,Male,11/22/1998,3:48 AM,74086,5.778,TRUE,Human Resources
Lori,Female,3/31/1988,10:59 PM,95389,14.223,FALSE,Sales
Philip,Male,08/02/1989,11:21 AM,129968,19.897,FALSE,Finance
Phyllis,Female,11/24/2005,11:57 PM,140347,8.723,FALSE,Sales
Cynthia,Female,12/03/2012,11:03 PM,74287,10.751,FALSE,Sales
Elizabeth,Female,11/10/2005,4:56 AM,106406,1.782,TRUE,Legal
Andrea,Female,9/14/2003,10:30 PM,115913,12.121,FALSE,Legal
Judy,Female,02/01/1990,3:32 PM,38092,5.668,FALSE,Distribution
Russell,Male,8/13/2014,3:51 PM,121160,7.843,FALSE,Engineering
Scott,Male,12/17/2011,3:45 AM,90429,4.45,FALSE,Product
Sarah,Female,5/22/1994,7:06 AM,64207,7.824,TRUE,Client Services
Susan,Female,9/25/2004,1:30 AM,80688,18.892,TRUE,Sales
Margaret,Female,05/05/2014,6:01 AM,55044,4.078,FALSE,Sales
Joshua,Male,11/09/2009,6:32 AM,72893,9.555,FALSE,Distribution
Juan,Male,4/16/2002,11:09 PM,97364,3.595,FALSE,Product
Marilyn,Female,12/17/1982,12:10 PM,147183,8.748,FALSE,Business Development
Mary,Female,10/18/2009,6:32 PM,87721,12.484,FALSE,Product
Linda,Female,7/15/2009,10:12 PM,144001,2.194,FALSE,Business Development
Larry,Male,8/27/2003,1:00 PM,91133,5.14,FALSE,Sales
Albert,Male,02/01/1997,4:20 PM,67827,19.717,TRUE,Engineering
Kenneth,Male,4/13/1999,10:28 PM,81839,12.072,FALSE,Sales
Brandon,Male,10/16/2015,2:44 AM,112548,4.664,FALSE,Engineering
Stephen,Male,04/09/1987,12:47 PM,111249,10.574,TRUE,Human Resources
Russell,Male,10/30/1994,5:46 AM,114334,9.669,FALSE,Product
Scott,Male,08/03/1996,1:50 AM,64172,10.894,TRUE,Engineering
Carlos,Male,7/28/2010,3:08 PM,50167,2.362,FALSE,Product
Jack,Male,12/24/1980,10:58 PM,106995,15.723,FALSE,Product
Debra,Female,1/19/2010,8:48 AM,70492,8.895,FALSE,Client Services
Phyllis,Female,1/15/1995,5:27 AM,125881,16.697,FALSE,Sales
Robert,Male,10/29/1994,4:26 AM,123294,19.894,FALSE,Client Services
Gloria,Female,9/19/1989,7:40 PM,131045,11.312,TRUE,Product
Marilyn,Female,8/15/1989,9:14 AM,140502,9.989,TRUE,Sales
Ralph,Male,10/27/2010,10:28 AM,106310,4.03,TRUE,Client Services
Robin,Female,01/08/1998,2:12 AM,111163,5.025,TRUE,Product
Kathy,Female,11/25/2001,9:55 PM,93753,7.094,TRUE,Sales
Rose,Female,07/06/2002,3:57 PM,63494,19.385,TRUE,Human Resources
Clarence,Male,1/13/2005,9:00 AM,116693,13.835,TRUE,Distribution
Doris,Female,7/29/1992,6:40 PM,85215,7.425,TRUE,Human Resources
Kathryn,Female,06/09/1988,9:29 AM,86439,7.799,FALSE,Finance
Norma,Female,4/16/1996,5:40 AM,38872,9.302,TRUE,Business Development
Craig,Male,02/08/1984,4:45 AM,113506,19.642,FALSE,Marketing
Sharon,Female,03/09/2014,4:39 PM,91522,7.564,FALSE,Finance
Mary,Female,8/22/2010,8:03 AM,42214,17.538,TRUE,Business Development
Joe,Male,12/05/2010,4:20 PM,144082,1.62,TRUE,Client Services
Jeremy,Male,5/29/1994,6:24 AM,47885,19.276,TRUE,Human Resources
Ernest,Male,8/14/2012,11:25 AM,126232,6.191,TRUE,Sales
Kevin,Male,6/23/1981,8:26 PM,134598,11.699,FALSE,Business Development
Jacqueline,Female,02/11/2007,2:01 AM,66604,14.609,FALSE,Legal
Johnny,Male,9/14/1992,8:21 AM,115194,5.861,TRUE,Marketing
Gary,Male,8/18/2011,8:12 AM,49101,11.9,TRUE,Business Development
Julia,Female,03/02/1982,12:52 PM,36403,2.664,TRUE,Finance
Dorothy,Female,11/05/2013,10:50 PM,140136,3.12,TRUE,Business Development
Justin,Male,5/22/1986,6:30 AM,121508,19.334,TRUE,Finance
Kevin,Male,11/20/1986,6:59 PM,79906,18.021,TRUE,Sales
Victor,Male,9/24/2005,12:04 PM,123144,16.261,TRUE,Product
Deborah,Female,11/25/1980,4:33 AM,46953,17.436,FALSE,Client Services
Alice,Female,05/02/1986,1:50 AM,51395,2.378,TRUE,Finance
Todd,Male,3/16/2016,2:45 PM,134408,3.56,TRUE,Human Resources
Frank,Male,01/10/1981,1:30 PM,71853,8.037,TRUE,Sales
Christopher,Male,5/13/1999,10:48 AM,68028,7.869,TRUE,Finance
Rose,Female,5/28/2015,8:40 AM,149903,5.63,FALSE,Human Resources
Andrea,Female,10/01/2010,11:54 AM,79123,19.422,FALSE,Distribution
Charles,Male,12/16/1999,8:28 PM,104014,7.077,FALSE,Legal
Wanda,Female,7/20/2008,1:44 PM,65362,7.132,TRUE,Legal
Billy,Male,12/01/2006,3:32 PM,144709,10.069,TRUE,Distribution
Kathryn,Female,8/29/2007,6:10 AM,53061,11.864,TRUE,Finance
Denise,Female,3/18/2001,12:02 AM,36697,11.196,TRUE,Sales
Nicholas,Male,03/01/2013,9:26 PM,101036,2.826,TRUE,Human Resources
Aaron,Male,7/22/1990,2:53 PM,52119,11.343,TRUE,Client Services
Louise,Female,5/13/2003,9:47 AM,46666,1.886,TRUE,Business Development
Julie,Female,4/23/1998,5:52 AM,73437,2.518,TRUE,Finance
Kathy,Female,05/08/1987,6:19 PM,86318,18.492,TRUE,Sales
Cheryl,Female,8/16/1994,8:33 AM,67150,15.85,TRUE,Marketing
Gregory,Male,5/15/2009,3:52 PM,142208,11.204,TRUE,Engineering
Wayne,Male,1/30/1992,3:01 PM,81183,17.066,FALSE,Client Services
Beverly,Female,11/30/2005,2:57 AM,107163,3.665,TRUE,Human Resources
Willie,Male,8/22/2009,1:03 PM,55038,19.691,FALSE,Legal
Scott,Male,11/17/2012,2:47 PM,146812,1.965,TRUE,Marketing
Annie,Female,12/19/1994,6:19 AM,40119,4.338,TRUE,Human Resources
Ruth,Female,10/24/2000,4:13 AM,69579,18.029,TRUE,Human Resources
Patricia,Female,01/09/2015,4:16 AM,121232,16.624,FALSE,Legal
Albert,Male,9/30/2007,5:34 PM,102626,15.843,FALSE,Finance
Tina,Female,1/17/2005,9:11 AM,88276,14.248,FALSE,Legal
Jeremy,Male,08/09/2001,3:56 AM,43354,13.946,FALSE,Marketing
Craig,Male,4/14/1996,9:17 AM,125556,7.996,FALSE,Engineering
Jose,Male,07/11/2002,9:15 AM,59862,3.269,FALSE,Product
Lawrence,Male,5/13/2005,1:25 AM,74640,18.641,FALSE,Marketing
Helen,Female,10/31/1997,2:43 AM,52875,4.188,FALSE,Legal
Walter,Male,08/04/2007,1:59 PM,58789,5.461,FALSE,Sales
Amy,Female,6/19/2002,3:06 AM,122897,8.222,TRUE,Engineering
Janice,Female,6/28/1997,1:48 PM,136032,10.696,TRUE,Marketing
Stephen,Male,05/09/2015,7:07 PM,141958,9.078,TRUE,Legal
Ryan,Male,7/20/1993,10:18 PM,139917,11.466,FALSE,Distribution
Sharon,Female,03/12/2002,6:32 AM,147635,14.693,FALSE,Human Resources
Joshua,Male,07/10/1984,7:22 PM,68230,8.047,FALSE,Client Services
